25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
253
# a b m n r  k err rhoa
15	16	22	23	-5.13288965880514e-01	-9.34729417791302e+01	2.04822033293579e-03	4.79786296236192e+01
16	17	23	24	-3.44680159529863e-01	-2.43709338715399e+02	3.00124038866635e-03	8.40017737473411e+01
17	18	24	25	-3.44741149585228e-01	-2.43709338715399e+02	3.00072711425120e-03	8.40166375934023e+01
1	2	9	10	-8.76337558667562e-02	-5.48331366978825e+02	1.15111279393350e-02	4.80523371479071e+01
2	3	10	11	-2.19090722906344e-01	-1.39846343699018e+02	4.66431923147871e-03	3.06390365368269e+01
3	4	11	12	-4.94939201423929e-02	-1.79962674780121e+03	2.03045018281644e-02	8.90705825417875e+01
4	5	12	13	-4.94926590348001e-02	-1.79962674780121e+03	2.03050166530124e-02	8.90683130188316e+01
5	6	13	14	-2.19119519949675e-01	-1.39846343699018e+02	4.66371938122934e-03	3.06430636980460e+01
6	7	14	15	-8.80725388871364e-02	-5.48331366978825e+02	1.14542769702766e-02	4.82929356412792e+01
7	8	15	16	-2.18758711158149e-01	-1.39846343699018e+02	4.67124653325033e-03	3.05926059077767e+01
8	9	16	17	-4.92743494260923e-02	-1.79962674780121e+03	2.03945348167391e-02	8.86754372076991e+01
9	10	17	18	-4.93171196226552e-02	-1.79962674780121e+03	2.03769344124595e-02	8.87524075974424e+01
10	11	18	19	-2.18946812451195e-01	-1.39846343699018e+02	4.66731929003492e-03	3.06189111858542e+01
11	12	19	20	-8.78792747849612e-02	-5.48331366978825e+02	1.14792472963276e-02	4.81869628719456e+01
12	13	20	21	-2.18876164060437e-01	-1.39846343699018e+02	4.66879351980911e-03	3.06090312667185e+01
13	14	21	22	-4.93446522278145e-02	-1.79962674780121e+03	2.03656205860606e-02	8.88019560101237e+01
14	15	22	23	-4.92157363462797e-02	-1.79962674780121e+03	2.04187044274629e-02	8.85699555414973e+01
15	16	23	24	-2.18814385084427e-01	-1.39846343699018e+02	4.67008345047407e-03	3.06003917028060e+01
16	17	24	25	-8.81910725753778e-02	-5.48331366978825e+02	1.14390161928838e-02	4.83579313805857e+01
1	2	10	11	-1.07180310188178e-01	-2.48389372415180e+02	9.43007189701435e-03	2.66224499829059e+01
2	3	11	12	2.30161767223013e-02	7.68607915666014e+02	4.35477025470116e-02	1.76904156171286e+01
3	4	12	13	2.34548216208331e-02	7.68607915666014e+02	4.27351569057246e-02	1.80275615583067e+01
4	5	13	14	2.29925526772725e-02	7.68607915666014e+02	4.35923435442848e-02	1.76722579891195e+01
5	6	14	15	-1.07592308049776e-01	-2.48389372415181e+02	9.39434471781537e-03	2.67247858731846e+01
6	7	15	16	-1.07187316810052e-01	-2.48389372415180e+02	9.42946200875718e-03	2.66241903533159e+01
7	8	16	17	2.29903596274680e-02	7.68607915666014e+02	4.35964922777997e-02	1.76705723936803e+01
