25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
16	17	23	24	-2.15775333892885e-02	-2.43709338715399e+02	5.63445001779684e-02	5.25864639341294e+00
17	18	24	25	-2.09671115057705e-02	-2.43709338715399e+02	5.76937416832444e-02	5.10988087984336e+00
1	2	9	10	-1.09502001310067e-02	-5.48331366978825e+02	1.01322531829203e-01	6.00433820652662e+00
2	3	10	11	-6.83631391615067e-02	-1.39846343699018e+02	2.46277659607982e-02	9.56033505552385e+00
3	4	11	12	-8.60022664707125e-04	-1.79962674780121e+03	1.17276005393479e+00	1.54771979112222e+00
4	5	12	13	-2.81165513205395e-04	-1.79962674780121e+03	3.56662395647181e+00	5.05992978123684e-01
5	6	13	14	-6.77451916121460e-02	-1.39846343699018e+02	2.47611952406185e-02	9.47391735014799e+00
6	7	14	15	-1.05164646939331e-02	-5.48331366978825e+02	1.05088989418364e-01	5.76650746140889e+00
7	8	15	16	-6.68441277395962e-02	-1.39846343699018e+02	2.49601772633744e-02	9.34790686213262e+00
8	9	16	17	-8.12070127343231e-04	-1.79962674780121e+03	1.24142074351583e+00	1.46142312225722e+00
9	10	17	18	-4.81725391779222e-04	-1.79962674780121e+03	2.08587147587667e+00	8.66925900140906e-01
10	11	18	19	-6.82584158274485e-02	-1.39846343699018e+02	2.46502081520309e-02	9.54568988015584e+00
11	12	19	20	-1.09267681191742e-02	-5.48331366978825e+02	1.01518369301277e-01	5.99148969944744e+00
12	13	20	21	-6.75995982731181e-02	-1.39846343699018e+02	2.47929873186490e-02	9.45355665401800e+00
13	14	21	22	-9.90333140268113e-04	-1.79962674780121e+03	1.01976122007719e+00	1.78223000846047e+00
