25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
17	18	22	23	4.69007962159218e-01	2.14521364906759e+02	1.21321599646117e-02	1.00612228194533e+02
18	19	23	24	4.68669258585827e-01	2.14521364906759e+02	1.21337008597863e-02	1.00539569041670e+02
19	20	24	25	4.68700616983449e-01	2.14521364906759e+02	1.21335581046084e-02	1.00546296087930e+02
1	2	7	8	-2.51611284745322e-02	-3.80798727263391e+03	4.97438453927926e-02	9.58132569961253e+01
2	3	8	9	-2.30261221859359e-02	-3.80798727263391e+03	5.34289365758160e-02	8.76831802221573e+01
3	4	9	10	-2.16842228474862e-02	-3.80798727263391e+03	5.61164786505562e-02	8.25732446201849e+01
4	5	10	11	-2.82163797387543e-01	-3.62522986447818e+02	1.35440407637644e-02	1.02290862496389e+02
5	6	11	12	-2.81871381055457e-01	-3.62522986447818e+02	1.35477173888869e-02	1.02184854854395e+02
6	7	12	13	-2.45811597970320e-02	-3.80798727263391e+03	5.06815629635483e-02	9.36047436536783e+01
7	8	13	14	-2.38132142927843e-02	-3.80798727263391e+03	5.19934909964260e-02	9.06804169474266e+01
8	9	14	15	-2.50939632326188e-02	-3.80798727263391e+03	4.98502217736628e-02	9.55574926097557e+01
9	10	15	16	-2.83908789034206e-01	-3.62522986447818e+02	1.35222579878621e-02	1.02923462079464e+02
10	11	16	17	-2.82588644522557e-01	-3.62522986447818e+02	1.35387126106554e-02	1.02444879348558e+02
11	12	17	18	-2.43914314871641e-02	-3.80798727263391e+03	5.09980037672757e-02	9.28822606644430e+01
12	13	18	19	-2.55395599377492e-02	-3.80798727263391e+03	4.91549424671931e-02	9.72543191916199e+01
13	14	19	20	-2.42323418304707e-02	-3.80798727263391e+03	5.12671629921694e-02	9.22764492765468e+01
14	15	20	21	-2.82408127972186e-01	-3.62522986447818e+02	1.35409745717322e-02	1.02379437949614e+02
15	16	21	22	-2.83948320055335e-01	-3.62522986447818e+02	1.35217676223797e-02	1.02937792983301e+02
16	17	22	23	-2.35766841499626e-02	-3.80798727263391e+03	5.24147854566558e-02	8.97797131739673e+01
17	18	23	24	-2.46148555997931e-02	-3.80798727263391e+03	5.06258731011368e-02	9.37330568417337e+01
18	19	24	25	-2.37445238947727e-02	-3.80798727263391e+03	5.21149737274853e-02	9.04188447860463e+01
1	2	8	9	-1.00880632543559e-01	-9.74837354861596e+02	1.99127054895122e-02	9.83422089855277e+01
2	3	9	10	-1.00917453588313e-01	-9.74837354861596e+02	1.99090887100604e-02	9.83781035153989e+01
3	4	10	11	-2.76207213516875e-01	-3.73891767116521e+02	1.36204702522692e-02	1.03271603152155e+02
4	5	11	12	-1.69302353338661e-02	-5.59500223701100e+03	6.90659243820236e-02	9.47247045661035e+01
5	6	12	13	-2.73015912873717e-01	-3.73891767116521e+02	1.36627901629402e-02	1.02078402115284e+02
6	7	13	14	-1.01558589194445e-01	-9.74837354861596e+02	1.98465330006248e-02	9.90031064537882e+01
7	8	14	15	-1.01697513875972e-01	-9.74837354861596e+02	1.98330820674690e-02	9.91385354228530e+01
8	9	15	16	-2.72499899423295e-01	-3.73891767116521e+02	1.36697261250971e-02	1.01885468934450e+02
9	10	16	17	-1.70093451065284e-02	-5.59500223701100e+03	6.87912111687467e-02	9.51673239211185e+01
10	11	17	18	-2.73442032049633e-01	-3.73891767116521e+02	1.36570822433710e-02	1.02237724566970e+02
11	12	18	19	-1.01640081556922e-01	-9.74837354861596e+02	1.98386383076637e-02	9.90825482528667e+01
12	13	19	20	-1.01101822123695e-01	-9.74837354861596e+02	1.98910185691464e-02	9.85578328507504e+01
